Date,Open,High,Low,Close,Volume
07/8/2021,81100,81200,79900,79900,16660998
07/9/2021,79600,79800,79000,79400,22720577
07/12/2021,79900,80000,79500,79700,9768108
7/13/2021,80000,80200,79800,79800,9863450
7/14/2021,79400,79600,79100,79500,11575636
7/15/2021,79800,80600,79500,80600,13766279
7/16/2021,80100,80100,79500,79800,10859399
7/19/2021,79100,79200,78800,79000,13155414
7/20/2021,78500,79000,78400,79000,12456646
7/21/2021,79000,79100,78500,78500,12355296
7/22/2021,79000,79800,78900,79700,12618790
7/23/2021,79700,79900,79200,79300,9098910
7/26/2021,79400,79500,78800,78800,10040975
7/27/2021,79200,79400,78500,78500,11427693
7/28/2021,78300,79200,78100,79200,12743417
7/29/2021,78800,79400,78800,79000,14360453
7/30/2021,78900,78900,78500,78500,13823411
08/2/2021,79200,79500,78700,79300,11739124
08/3/2021,79400,81400,79300,81400,24339360
08/4/2021,82200,83100,81800,82900,25642368
08/5/2021,83300,83300,82000,82100,18485469
08/6/2021,81900,82500,81300,81500,13342623
08/9/2021,81500,82300,80900,81500,15522581
08/10/2021,82300,82400,80100,80200,20362639
08/11/2021,79600,79800,78500,78500,30241137
08/12/2021,77100,78200,76900,77000,42365223
8/13/2021,75800,76000,74100,74400,61270643
8/17/2021,74000,75100,74000,74200,30944847
8/18/2021,73900,74600,73100,73900,29192631
8/19/2021,73500,74400,73100,73100,22166298
8/20/2021,73500,73900,72500,72700,22364803
8/23/2021,73300,74000,73000,73300,19384648
8/24/2021,73900,75700,73900,75600,21016913
8/25/2021,76200,76600,74900,75700,22319664
8/26/2021,76100,76200,74600,74600,16671494
8/27/2021,74300,75000,73800,74300,15172748
8/30/2021,75400,75500,74200,74600,12686999
8/31/2021,74900,76700,74300,76700,24630370
09/1/2021,76700,77100,75900,76800,16114775
09/2/2021,76800,76800,75700,76000,15347486
09/3/2021,76400,76700,76000,76600,12096419
09/6/2021,76800,77600,76600,77300,12861180
09/7/2021,77100,77100,75900,76100,13239401
09/8/2021,76000,76400,75600,76300,11798147
09/9/2021,76400,76600,75000,75300,17600770
09/10/2021,75300,75600,74800,75300,10103212
9/13/2021,75200,76300,75100,76300,11397775
9/14/2021,77100,77700,76600,76600,18167057
9/15/2021,77400,77400,76400,77000,12829128
9/16/2021,77300,77400,76100,76100,13067622
9/17/2021,76300,77200,75900,77200,16289502
9/23/2021,77500,77600,76800,77400,17055590
9/24/2021,77600,77700,77100,77300,12247274
9/27/2021,77300,77700,77000,77700,11699798
9/28/2021,77700,77800,76200,76300,15406382
9/29/2021,74800,75300,73800,74100,23992458
9/30/2021,74300,74800,73700,74100,19919361
10/1/2021,73900,74000,72900,73200,15803395
10/5/2021,73000,73000,71400,72200,24013921
10/6/2021,72600,72800,71200,71300,18956962
10/7/2021,71600,72100,71300,71600,13683532
10/8/2021,72300,72400,71500,71500,14043287
10/12/2021,70700,70900,68700,69000,31001484
10/13/2021,68700,69600,68300,68800,24172015
10/14/2021,69000,69800,68800,69400,19520641
10/15/2021,70200,71000,70000,70100,18051612
10/18/2021,70200,70300,69200,70200,13486391
10/19/2021,70800,71000,70400,70600,9507991
10/20/2021,70700,71000,70200,70300,10151638
10/21/2021,70300,70600,70000,70200,10891094
10/22/2021,70000,70700,70000,70400,8395448
10/25/2021,69900,70600,69500,70200,10029621
10/26/2021,70600,71500,70400,71100,10528252
10/27/2021,71000,71000,70000,70100,10295316
10/28/2021,69500,72200,69500,70700,20644902
10/29/2021,71200,71600,69700,69800,17016151
11/1/2021,70200,70600,69900,69900,11503729
11/2/2021,70800,72200,70700,71500,16812570
11/3/2021,71700,71700,70100,70400,12770428
11/4/2021,71200,71600,70500,70600,11818987
11/5/2021,71600,71600,70200,70200,12667743
11/8/2021,70400,70600,69800,70600,11121981
11/9/2021,70300,71000,70100,70500,11159589
11/10/2021,70300,70900,70200,70200,9422009
11/11/2021,69900,70000,69600,69900,11489122
11/12/2021,70200,70900,69900,70600,10087450
11/15/2021,71700,71900,70900,71400,12420710
11/16/2021,71500,72000,71300,71300,10919239
11/17/2021,71300,71600,70600,70700,11027606
11/18/2021,70700,71000,70200,70200,10144957
11/19/2021,70400,71400,70100,71200,11954728
11/22/2021,73300,75200,73000,74900,27506623
11/23/2021,76000,76000,74500,75300,22029195
11/24/2021,76000,76200,74100,74800,15652305
11/25/2021,75100,75100,73600,73700,12559258
11/26/2021,73500,74100,72000,72300,13002242
11/29/2021,71700,73000,71400,72300,16682559
11/30/2021,73200,73900,70500,71300,30364841
12/1/2021,72000,74800,71600,74400,21954856
12/2/2021,73900,75800,73800,75800,23652940
12/3/2021,75600,76000,74100,75600,18330240
12/6/2021,75100,76700,74900,76300,16391250
12/7/2021,76100,77700,75600,77400,19232453
12/8/2021,78300,78600,77100,77400,21558340
12/9/2021,77400,78200,77000,78200,21604528
12/10/2021,77400,77600,76800,76900,9155219
12/13/2021,77200,78300,76500,76800,15038750
12/14/2021,76500,77200,76200,77000,10976660
12/15/2021,76400,77600,76300,77600,9584939
12/16/2021,78500,78500,77400,77800,11996128
12/17/2021,76800,78000,76800,78000,13108479
12/20/2021,77600,77800,76800,77100,11264375
12/21/2021,77900,78300,77500,78100,14245298
12/22/2021,78900,79400,78800,79400,17105892
12/23/2021,79800,80000,79300,79900,13577498
12/24/2021,80200,80800,80200,80500,12086380
12/27/2021,80600,80600,79800,80200,10783368
12/28/2021,80200,80400,79700,80300,18226325
12/29/2021,80200,80200,78500,78800,19794795
12/30/2021,78900,79500,78100,78300,14236700
01/3/2022,79400,79800,78200,78600,13502112
01/4/2022,78800,79200,78300,78700,12427416
01/5/2022,78800,79000,76400,77400,25470640
01/6/2022,76700,77600,76600,76900,12931954
01/7/2022,78100,78400,77400,78300,15163757
01/10/2022,78100,78100,77100,78000,9947422
01/11/2022,78400,79000,78000,78900,13221123
01/12/2022,79500,79600,78600,78900,11000502
1/13/2022,79300,79300,77900,77900,13889401
1/14/2022,77700,78100,77100,77300,10096725
